protocol_id,nccp_code,title,field,original_label,display_label,component,protocol_path,basis
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,recurrent_grade_3_immune_toxicity,Recurrent grade 3 immune-mediated toxicity,Recurrent grade 3 immune-mediated toxicity (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,pancreatitis_grade,Immune-mediated pancreatitis grade,Immune-mediated pancreatitis grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,pericardial_disorder_grade,Immune-mediated pericardial disorder grade,Immune-mediated pericardial disorder grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,peripheral_neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Nab Paclitaxel),Nab Paclitaxel,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,diarrhoea_grade,Diarrhoea grade,Diarrhoea grade (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,other_toxicity_grade,Other treatment-related toxicity grade,Other treatment-related toxicity grade (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,alt_grade,ALT/AST elevation grade,ALT/AST elevation grade (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,bilirubin_grade,Bilirubin elevation grade,Bilirubin elevation grade (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,gi_disease_diarrhoea,GI disease with diarrhoea as major symptom,GI disease with diarrhoea as major symptom (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,complicated_diarrhoea,"Complicated diarrhoea features (dehydration, fever, hypotension, renal failure or grade 3-4 neutropenia)","Complicated diarrhoea features (dehydration, fever, hypotension, renal failure or grade 3-4 neutropenia) (Neratinib)",Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00720-v2,00720,Neratinib Therapy,toxicity_delay_weeks,Treatment delay for toxicity (weeks),Treatment delay for toxicity (weeks) (Neratinib),Neratinib,protocols/breast/00720-neratinib-extended-adjuvant.json,encoded rule action component
nccp-00736-v2,00736,nab-Paclitaxel Weekly Monotherapy - 28 day,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Nab Paclitaxel),Nab Paclitaxel,protocols/breast/00736-nab-paclitaxel-weekly.json,encoded rule action component
nccp-00736-v2,00736,nab-Paclitaxel Weekly Monotherapy - 28 day,neuropathy_grade,Motor/sensory neuropathy grade,Motor/sensory neuropathy grade (Nab Paclitaxel),Nab Paclitaxel,protocols/breast/00736-nab-paclitaxel-weekly.json,encoded rule action component
