protocol_id,nccp_code,title,field,original_label,display_label,component,protocol_path,basis
nccp-00526-v5,00526,"Pertuzumab, Trastuzumab and Vinorelbine - 21 day",other_toxicity_grade,Other toxicity grade,Other toxicity grade (Vinorelbine),Vinorelbine,protocols/breast/00526-pertuzumab-trastuzumab-vinorelbine.json,encoded rule action component
nccp-00545-v3,00545,Zoledronic Acid Monotherapy,relevant_drug_hypersensitivity,Hypersensitivity to zoledronic acid/bisphosphonates,Hypersensitivity to zoledronic acid/bisphosphonates,Zoledronic Acid,protocols/breast/00545-zoledronic-acid-adjuvant.json,encoded rule action component
nccp-00605-v2,00605,Talazoparib Therapy,nonhaem_toxicity_grade,Worst non-haematological toxicity grade,Worst non-haematological toxicity grade (Talazoparib),Talazoparib,protocols/breast/00605-talazoparib.json,encoded rule action component
nccp-00659-v2,00659,Trastuzumab Emtansine (Kadcyla®) Early Breast Cancer Therapy - 21 days,hypersensitivity,Hypersensitivity to trastuzumab emtansine/excipients,Hypersensitivity to trastuzumab emtansine/excipients,Trastuzumab Emtansine,protocols/breast/00659-t-dm1-early-breast.json,encoded rule action component
nccp-00659-v2,00659,Trastuzumab Emtansine (Kadcyla®) Early Breast Cancer Therapy - 21 days,peripheral_neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Trastuzumab Emtansine),Trastuzumab Emtansine,protocols/breast/00659-t-dm1-early-breast.json,encoded rule action component
nccp-00659-v2,00659,Trastuzumab Emtansine (Kadcyla®) Early Breast Cancer Therapy - 21 days,pulmonary_toxicity,Interstitial lung disease / pneumonitis,Interstitial lung disease / pneumonitis (Trastuzumab Emtansine),Trastuzumab Emtansine,protocols/breast/00659-t-dm1-early-breast.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,hypersensitivity,Relevant drug hypersensitivity,Relevant drug hypersensitivity (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,pneumonitis_grade,Immune-mediated pneumonitis / interstitial lung disease grade,Immune-mediated pneumonitis / interstitial lung disease grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,diarrhoea_colitis_grade,Immune-mediated diarrhoea / colitis grade,Immune-mediated diarrhoea / colitis grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,endocrine_status,Immune-mediated endocrine status,Immune-mediated endocrine status (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,rash_grade,Immune-mediated rash / dermatitis grade,Immune-mediated rash / dermatitis grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,scar_status,Severe cutaneous adverse reaction (SCAR) status,Severe cutaneous adverse reaction (SCAR) status (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,myocarditis_grade,Immune-mediated myocarditis grade,Immune-mediated myocarditis grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,myositis_grade,Immune-mediated myositis / polymyositis grade,Immune-mediated myositis / polymyositis grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,serious_neurological_irae_grade,Serious immune-mediated neurological syndrome grade,Serious immune-mediated neurological syndrome grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,infusion_reaction_grade,Infusion-related reaction grade,Infusion-related reaction grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
nccp-00688-v2a,00688,Atezolizumab and nab-Paclitaxel,other_immune_toxicity_grade,Other immune-mediated toxicity grade,Other immune-mediated toxicity grade (Atezolizumab),Atezolizumab,protocols/breast/00688-atezolizumab-nab-paclitaxel.json,encoded rule action component
