"code","protocol_id","path","title","in_scope","encoding_maturity","resolution","source_url","organ_inputs","organ_rules","issues"
"00361","nccp-00361-vcurrent","protocols/breast/00361-fulvestrant-monotherapy.json","Fulvestrant Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6816/361_Fulvestrant_Therapy.pdf","alt_grade|ast_grade|child_pugh_class","severe_hepatic_impairment_review",""
"00371","nccp-00371-vcurrent","protocols/breast/00371-letrozole-monotherapy.json","Letrozole Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6817/371_Letrozole_.pdf","alt_grade|ast_grade|child_pugh_class","severe_hepatic_impairment_review",""
"00372","nccp-00372-v6","protocols/lung/00372-nintedanib-therapy-with-docetaxel.json","Nintedanib Therapy with Docetaxel","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6913/372_Nintedanib_therapy.pdf","breastfeeding|bilirubin_uln_multiple|alt_ast_uln_multiple|nintedanib_renal_band|nintedanib_child_pugh|alp_uln_multiple|docetaxel_hepatic_band","PREGNANCY_BREASTFEEDING|DOCETAXEL_BILI_HIGH|NINT_LFT_3|OF590_00372_NINT_RENAL|OF590_00372_NINT_HEP|OF590_00372_NINT_LFT_STOP|OF590_00372_NINT_LFT_HOLD|OF590_00372_DOC_HEP_75|OF590_00372_DOC_HEP_STOP",""
"00373","nccp-00373-v3","protocols/skin/00373-cobimetinib-and-vemurafenib-therapy.json","Cobimetinib and Vemurafenib Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6728/373_V3_Cobimetinib_and_Vemurafenib.pdf","breastfeeding|alt_ast_uln_multiple|bilirubin_uln_multiple","BREASTFEEDING",""
"00374","nccp-00374-v4","protocols/sarcoma/00374-trabectedin-monotherapy.json","Trabectedin Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6729/374_Trabectedin_monotherapy.pdf","breastfeeding|alt_ast_uln_multiple|bilirubin_uln_multiple|alp_uln_multiple|trabectedin_renal_band|hepatic_impairment_band","PREGNANCY_BREASTFEEDING|BILI|ASTALT|ALP|HD|HEP_MOD|HEP_SEV",""
"00375","nccp-00375-v6","protocols/gynaecology/00375-trabectedin-and-pegylated-liposomal-doxorubicin-therapy.json","Trabectedin and Pegylated Liposomal Doxorubicin Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6818/375_Trabectedin_and_PLD_therapy.pdf","alt_ast_uln_multiple|bilirubin_uln_multiple","TRAB_LFT",""
"00376","nccp-00376-vcurrent","protocols/breast/00376-exemestane-monotherapy.json","Exemestane Monotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6568/376_Exemestane_therapy.pdf","alt_grade|ast_grade|child_pugh_class","severe_hepatic_impairment_review",""
"00377","nccp-00377-v6","protocols/breast/00377-cmf-oral.json","Cyclophosphamide (oral), Methotrexate and 5-Fluorouracil (CMF)","false","not_formally_audited","","https://healthservice.hse.ie/documents/6337/377_v6_CMF_oral.pdf","","",""
"00378","nccp-00378-v6","protocols/breast/00378-cmf-iv-28-day.json","Cyclophosphamide (IV), Methotrexate and 5-Fluorouracil (CMF) – 28 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6344/378_v6_cycloPHOSphamideIV_Methotrexate_5-FU_CMF.pdf","","",""
"00379","nccp-00379-v4","protocols/neuro-oncology/00379-procarbazine-lomustine-and-vincristine-pcv-therapy-42-day.json","Procarbazine, Lomustine and Vincristine (PCV) Therapy – 42 Day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6971/379_V4_PCV.pdf","breastfeeding|lomustine_renal_band|procarbazine_renal_band|bilirubin_umol_l|ast_alt_u_l","BREASTFEEDING|LOM_45_60|LOM_30_44|LOM_LT30|PROC_CR_GT177|PROC_RENAL_SEVERE|PROC_BILI_GT50|PROC_HEPATIC_CONTRA|VIN_HEPATIC_50_A|VIN_HEPATIC_50_B|VIN_HEPATIC_OMIT",""
"00380","nccp-00380-v6","protocols/gastrointestinal/00380-ecx-epirubicin-cisplatin-and-capecitabine-therapy.json","ECX: Epirubicin, Cisplatin and Capecitabine Therapy","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6345/380_v6_ECX_.pdf","breastfeeding|cisplatin_crcl_band|capecitabine_renal_band|capecitabine_bilirubin_uln|capecitabine_alt_ast_uln|epirubicin_bilirubin_umol_l|epirubicin_ast_uln","PREGNANCY_OR_BREASTFEEDING|CISPLATIN_CRCL_45_59|CISPLATIN_CRCL_LT45|CISPLATIN_DIALYSIS|OF590_00380_CAPE_RENAL_30_50|OF590_00380_CAPE_RENAL_LT30|OF590_00380_CAPE_HEPATIC_HOLD|OF590_00380_CIS_50_59|OF590_00380_CIS_40_49|OF590_00380_CIS_LT40|OF590_00380_CIS_DIALYSIS|OF590_00380_EPI_REDUCE50|OF590_00380_EPI_REDUCE25|OF590_00380_EPI_NOT_RECOMMENDED",""
