path,protocol_id,title,counts,renal,hepatic,endocrine,context,toxicity,candidate_fields
"protocols/haemato-oncology/plasma-cell/00416-rvd-21-day.json","nccp-00416-v4","Bortezomib, Lenalidomide and dexamethasone (RVD) Therapy – 21 day",5,1,1,0,0,4,11
"protocols/haemato-oncology/plasma-cell/00435-bortezomib-maintenance-14-day.json","nccp-00435-v3","Bortezomib Maintenance Therapy – 14 day",4,1,1,0,0,4,10
"protocols/haemato-oncology/plasma-cell/00601-pomalidomide-bortezomib-dexamethasone.json","nccp-00601-v3","Pomalidomide, Bortezomib and Dexamethasone (PVD)",5,1,1,0,0,4,11
"protocols/haemato-oncology/plasma-cell/00604-daratumumab-sc-monotherapy.json","nccp-00604-v2d","Daratumumab SC Monotherapy",4,1,2,0,0,2,9
"protocols/haemato-oncology/plasma-cell/00609-daratumumab-sc-bortezomib-dexamethasone.json","nccp-00609-v4","Daratumumab SC, Bortezomib and Dexamethasone",4,1,2,0,0,5,12
"protocols/haemato-oncology/plasma-cell/00643-rvd-28-day.json","nccp-00643-v3","Bortezomib, Lenalidomide and dexamethasone (RVD) Therapy – 28 day",5,1,1,0,0,4,11
"protocols/haemato-oncology/plasma-cell/00695-daratumumab-sc-weekly-bortezomib-dexamethasone.json","nccp-00695-v2","Daratumumab SC, Weekly Bortezomib and Dexamethasone",4,1,2,0,0,5,12
"protocols/haemato-oncology/plasma-cell/00780-rvd-lite-induction.json","nccp-00780-v2","Bortezomib, Lenalidomide and Dexamethasone (RVD-Lite) Induction",5,1,1,0,0,4,11
"protocols/haemato-oncology/plasma-cell/00854-daratumumab-sc-lenalidomide-dexamethasone.json","nccp-00854-v4","Daratumumab SC, Lenalidomide and Dexamethasone",5,1,2,0,0,2,10
"protocols/head-neck/00242-vandetanib-monotherapy.json","nccp-00242-v6","Vandetanib Monotherapy",2,0,2,0,1,3,8
"protocols/head-neck/00295-lenvatinib-dtc-therapy.json","nccp-00295-v6","Lenvatinib DTC Therapy",2,0,2,0,1,3,8
"protocols/head-neck/00314-cisplatin-and-5-fluorouracil-28-day.json","nccp-00314-v4b","Cisplatin and 5-Fluorouracil – 28 day",5,1,4,0,1,3,14
"protocols/head-neck/00315-docetaxel-75-cisplatin-75-and-5-fluorouracil-1000-induction-tpf.json","nccp-00315-v7a","Docetaxel 75, Cisplatin 75 and 5-Fluorouracil 1000 – Induction TPF",5,1,4,0,1,4,15
