protocol_id,nccp_code,version,title,tumour_group,schedule_available,structured_treatment_phases,structured_treatment_object,phase_count,component_count,selectable_dose_level_groups,modification_pathways,source_url,clinical_validation_authorised
nccp-00858-v3,00858,3,Pembrolizumab + weekly Carboplatin/Paclitaxel → AC,Breast,true,true,false,4,8,0,21,https://healthservice.hse.ie/documents/6451/858_v3_Pembro_Carbo_1.5_Pacli_80_AC60_600_.pdf,false
nccp-00860-v2,00860,2,Pembrolizumab 400 + Carbo/Paclitaxel → DDAC,Breast,true,true,false,4,8,0,21,https://healthservice.hse.ie/documents/6452/860_v2_Pembro_Carbo_AUC_5_Pacli_80_DDAC.pdf,false
nccp-00861-v2,00861,2,Pembrolizumab 400 + Weekly Carbo/Paclitaxel → DDAC,Breast,true,true,false,4,8,0,21,https://healthservice.hse.ie/documents/6453/861_v2_Pembro_Carbo_AUC_1.5_Pacli_80_DDAC.pdf,false
nccp-00892-v2,00892,2,Adjuvant ribociclib,Breast,false,false,false,0,0,0,7,https://healthservice.hse.ie/documents/6649/892_Ribociclib_Adjuvant.pdf,false
nccp-00936-vcurrent,00936,1,Tucatinib + trastuzumab + capecitabine,Breast,false,false,false,0,0,0,9,https://healthservice.hse.ie/documents/8391/936_Tucatinib_Regimen.pdf,false
nccp-00212-v6a,00212,6a,Bevacizumab q14d,Breast,true,true,false,1,1,0,21,https://healthservice.hse.ie/documents/6942/212_V6a_Bevacizumab_10mgkg.pdf,false
nccp-00203-v7,00203,7,Docetaxel 75 q21d,Breast,true,false,true,1,1,1,7,https://healthservice.hse.ie/documents/6543/203_DOCEtaxel_75-21day.pdf,false
nccp-00226-v9,00226,9,Weekly paclitaxel,Breast,true,false,true,1,1,1,12,https://healthservice.hse.ie/documents/6562/226_V9_Paclitaxel_80.pdf,false
nccp-00621-v9,00621,3,"Paclitaxel 80 mg/m² Days 1, 8 and 15 – 28 day",Breast,true,false,true,1,1,1,12,https://healthservice.hse.ie/documents/6688/621_V3_Paclitaxel_80.pdf,false
nccp-00251-v6,00251,6,Carboplatin q28d,Breast,false,false,false,0,0,0,5,https://healthservice.hse.ie/documents/6355/251_CARBOplatin_AUC4-6_28days.pdf,false
nccp-00261-v7,00261,7,Carboplatin q21d,Breast,false,false,false,0,0,0,5,https://healthservice.hse.ie/documents/6366/261_CARBOplatinAUC4-6_21days.pdf,false
nccp-00205-v8,00205,8,Pegylated Liposomal Doxorubicin 50 mg/m² – 28 day,Breast,true,false,true,1,1,0,9,https://healthservice.hse.ie/documents/6546/205_V8_Peg_Lipo_DOXO_28_day.pdf,false
nccp-00259-v6,00259,6,Vinorelbine oral,,false,false,false,0,0,0,9,https://healthservice.hse.ie/documents/6363/259_Vinorelbine_Oral.pdf,false
nccp-00232-v5,00232,5,Vinorelbine IV,Breast,false,false,false,0,0,0,11,https://healthservice.hse.ie/documents/6567/232_v5_Vinorelbine_IV.pdf,false
nccp-00228-v8,00228,8,Eribulin Monotherapy,,true,false,true,1,1,0,8,https://healthservice.hse.ie/documents/6564/228_eriBULin.pdf,false
nccp-00209-v10a,00209,10a,Modified FOLFOX-6,Gastrointestinal,true,true,false,1,4,4,31,https://healthservice.hse.ie/documents/6549/209_v10a_FOLFOX_6_Modified.pdf,false
nccp-00210-v9b,00210,9b,FOLFOX-4 Therapy – 14 day,Gastrointestinal,true,false,true,1,3,0,15,https://healthservice.hse.ie/documents/6550/210_v9b_FOLFOX4.pdf,false
nccp-00213-v7,00213,7,Irinotecan Monotherapy – 21 day,Gastrointestinal,true,false,true,1,1,0,10,https://healthservice.hse.ie/documents/6553/00213_Irinotecan_Monotherapy.pdf,false
nccp-00216-v8,00216,8,Capecitabine,Gastrointestinal,true,true,false,1,1,1,13,https://healthservice.hse.ie/documents/6558/216_v8_Capecitabine.pdf,false
nccp-00225-v6,00225,6,Panitumumab 6 mg/kg Therapy,Gastrointestinal,true,false,true,1,1,0,6,https://healthservice.hse.ie/documents/6560/225_Panitumumab_6mgkg.pdf,false
nccp-00227-v9,00227,9,FOLFIRI,Gastrointestinal,true,true,false,1,4,3,32,https://healthservice.hse.ie/documents/6563/227_v9_FOLFIRI.pdf,false
nccp-00235-v5,00235,5,Teysuno (S-1) and Cisplatin – 28 day,Gastrointestinal,true,false,true,1,2,0,17,https://healthservice.hse.ie/documents/6334/235_Teysuno_CISplatin.pdf,false
